trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",20,0,-61.79008178500294,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.81}",20,0,-160.5645111842887,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.7290000000000001}",25,0,-3.6942664093091615,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.6561}",35,0,-215.9670240548635,"{0: 23, 1: 1, 2: 6, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.5904900000000001}",20,4,-39.07662789911567,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.531441}",30,0,-52.46408882025813,"{0: 22, 1: 0, 2: 8, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.4782969000000001}",20,0,-101.36117185660294,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.4304672100000001}",20,0,-44.88089678359589,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.3874204890000001}",20,0,-9.242956040932793,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.3486784401000001}",25,9,-23.525961873040067,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.31381059609000006}",25,0,-102.0386326326168,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.2824295364810001}",25,17,14.201145582724537,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.2541865828329001}",30,10,-4.731038707013529,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.2287679245496101}",30,0,-37.08982585608583,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.20589113209464907}",20,8,-46.005087337715466,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.18530201888518416}",25,7,-28.35299535327027,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.16677181699666577}",35,7,3.6957678857797216,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.15009463529699918}",30,20,19.706327758532225,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.13508517176729928}",30,0,-21.22570695651895,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.12157665459056935}",20,0,29.25794902844902,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.10941898913151242}",20,11,13.33520594839331,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.09847709021836118}",20,7,21.7800297534752,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.08862938119652507}",20,10,19.713817683649072,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.07976644307687256}",30,13,15.550560348862668,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.0717897987691853}",35,16,15.000255804839345,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.06461081889226677}",25,0,-59.390161849578334,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.058149737003040096}",25,17,14.880459246451936,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.05233476330273609}",20,5,-17.384952719596036,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.047101286972462485}",20,0,32.57454834062841,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,7,19.645703067642117,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,12,15.273740240599484,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,2,25.445282246101232,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-56.3772104662829,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-28.13614199990179,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,29.058765037575178,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,14.084921080119038,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,17,26.998562820357964,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,12,14.731658755808695,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,4,-61.29093946359437,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
