trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.94577290051188,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,0,-75.13665891429557,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.16529888822158653}",25,14,10.14132300501685,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.06720551273974976}",20,7,-84.21018307940801,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.02732372244729256}",30,0,-199.08821981329504,"{0: 21, 1: 0, 2: 4, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.011108996538242306}",25,0,-45.420453098316734,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.004516580942612666}",25,0,-67.56879077489212,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.0018363047770289071}",30,0,1.5829745750058954,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.0007465858083766792}",20,0,-29.844555051877666,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.0003035391380788668}",20,0,26.02844632653127,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.00012340980408667956}",30,5,24.388804176354554,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 5.017468205617528e-05}",20,16,8.671958762455322,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 2.0399503411171922e-05}",25,2,-15.379048933188937,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 8.293819160757357e-06}",25,0,7.289020744670933,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 3.3720152341391845e-06}",20,0,16.51683660192448,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.3709590863840845e-06}",30,0,1.0880999969401048,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 5.573903692694596e-07}",20,0,20.869366314728367,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 2.26618012776571e-07}",30,0,38.717179647654014,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 9.213600834566135e-08}",25,0,31.16226376082914,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 3.745970556295245e-08}",25,8,5.290763746358213,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,35.63096764565367,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,15,11.340385653733007,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,0,37.69572835235165,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,17,-31.97732807276346,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,23.76162901846515,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,30.21950402889171,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,8,19.76215270556136,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,0,38.333048135529694,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,9,17.603288748068262,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,0,31.948062904233982,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
