trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-116.02524152017453,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.6216099682706644}",20,0,-56.055509255032774,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': -0.2272020946930871}",20,0,-136.23460993321353,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': -0.9040721420170612}",20,11,-5.295790239577909,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': -0.896758416334147}",30,0,-51.94864853709885,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': -0.2107957994307797}",20,0,-17.983138461286796,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6346928759426347}",25,0,-76.14482149863697,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9998586363834151}",20,0,-42.11230174930045,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.6083513145322546}",30,0,-98.30959365189622,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': -0.2435441537357911}",30,0,21.715367759669974,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': -0.9111302618846769}",25,6,-13.195092779204035,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': -0.8891911526253609}",20,0,0.46934515192870463,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': -0.1943299064553348}",25,0,-7.5832278691741175,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.6475963386538773}",25,6,-23.785756696123205,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9994345855010047}",20,0,-107.50558594728382,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.594920663309892}",25,0,-122.15737335902071,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': -0.25981735621375585}",30,10,31.590758973756124,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': -0.9179307804142932}",25,18,14.380729787649452,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': -0.8813724903622346}",20,0,25.77873288047756,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -0.17780907112311564}",25,13,22.009473009758285,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,20,10.418480694669881,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-11.430419541686755,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-14.308183825330191,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,16.24534941434533,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,11,1.029399883510596,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,10,35.20431416935561,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,3,26.867750199871324,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,12,13.625246833662775,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",35,0,-45.572704695248426,"{0: 32, 1: 0, 2: 1, 3: 0, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,15,17.973168639701296,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
