trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.58089382516437,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.66439367074113,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.03231291542751,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.89356392124708,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.40966466290796,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.62769655616286,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-102.8707723841035,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,9,-40.39982725179842,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.10789213403967,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.37594377122328,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-130.0469384894911,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.0687921551645,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-218.89335262134546,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.2418294522977,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.29484576435976,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.63284695462414,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-219.6421536808277,"{0: 17, 1: 1, 2: 7, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-178.08742571046707,"{0: 23, 1: 2, 2: 6, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.33078026323417,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.5637443665829,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-140.80005870957797,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.14185582218083,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.17240914177536,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.77658838342461,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-101.18094533051044,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-139.39743888795783,"{0: 24, 1: 1, 2: 8, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.74392420827898,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-204.5025831034304,"{0: 12, 1: 5, 2: 3, 3: 2, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-99.54165079424313,"{0: 18, 1: 7, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.74325327259032,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
